room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16617567,1193,109568126,Shared room,,Seattle,,Mount Baker,0,0.0,1,1.0,,200.0,,2017-05-06 06:31:25.127152,47.572852,-122.291112,0101000020E610000048DE3994A1925EC05EB9DE3653C94740
13785072,1193,1243056,Shared room,,Seattle,,University District,0,0.0,4,1.0,,180.0,,2017-05-06 06:31:24.535567,47.657006,-122.31925,0101000020E6100000DF4F8D976E945EC04DA3C9C518D44740
13868361,1193,1243056,Shared room,,Seattle,,Wallingford,0,0.0,4,1.0,,180.0,,2017-05-06 06:31:24.533363,47.64973,-122.332522,0101000020E6100000D5CC5A0A48955EC0739D465A2AD34740
13877143,1193,1243056,Shared room,,Seattle,,Wallingford,0,0.0,4,1.0,,180.0,,2017-05-06 06:31:24.530249,47.651092,-122.331426,0101000020E6100000D2C2651536955EC0F7578FFB56D34740
13877457,1193,1243056,Shared room,,Seattle,,Wallingford,0,0.0,4,1.0,,180.0,,2017-05-06 06:31:24.527173,47.65175,-122.332131,0101000020E610000038BF61A241955EC08195438B6CD34740
3757858,1193,19196841,Shared room,,Seattle,,Minor,29,5.0,2,1.0,,129.0,,2017-05-06 06:31:23.830968,47.609777,-122.313,0101000020E610000079E9263108945EC02F6D382C0DCE4740
14639624,1193,9577961,Shared room,,Seattle,,Briarcliff,1,0.0,1,1.0,,129.0,,2017-05-06 06:31:23.827634,47.650179,-122.412985,0101000020E6100000452FA3586E9A5EC0E3C5C21039D34740
12623261,1193,45287165,Shared room,,Seattle,,Broadway,9,5.0,1,1.0,,110.0,,2017-05-06 06:31:22.996306,47.616074,-122.326894,0101000020E61000008DD0CFD4EB945EC03CF54883DBCE4740
17240892,1193,116162089,Shared room,,Seattle,,Bryant,0,0.0,1,1.0,,115.0,,2017-05-06 06:31:22.993962,47.662065,-122.289325,0101000020E6100000933A014D84925EC0C269C18BBED44740
13785508,1193,1243056,Shared room,,Seattle,,University District,0,0.0,2,1.0,,96.0,,2017-05-06 06:31:22.247486,47.658844,-122.319661,0101000020E6100000A033695375945EC03A950C0055D44740
13418525,1193,75961250,Shared room,,Seattle,,Roosevelt,0,0.0,2,1.0,,99.0,,2017-05-06 06:31:22.242672,47.685374,-122.313325,0101000020E61000003B014D840D945EC0ADC3D155BAD74740
13785654,1193,1243056,Shared room,,Seattle,,University District,0,0.0,2,1.0,,96.0,,2017-05-06 06:31:22.240389,47.658629,-122.319563,0101000020E6100000BF805EB873945EC03D997FF44DD44740
