room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6278181,32546254.0,Entire home/apt,,Green Lake,2,4.5,,3.0,225.0,2.0,47.674781,-122.324622,2016-01-19 20:27:24.437941
8036620,42436525.0,Entire home/apt,,Portage Bay,5,4.5,,4.0,525.0,2.0,47.647416,-122.321375,2016-01-19 20:27:18.026814
3946631,12166491.0,Entire home/apt,,Broadway,8,5.0,2.0,1.0,160.0,2.0,47.6218,-122.321245,2016-01-19 20:27:13.076359
8779676,6046471.0,Private room,,Broadway,6,4.5,2.0,1.0,65.0,2.0,47.618159,-122.319185,2016-01-19 20:27:09.911875
8958290,2152222.0,Private room,,Ravenna,2,5.0,2.0,1.0,35.0,2.0,47.676336,-122.307486,2016-01-19 20:27:07.076334
5031357,7942577.0,Private room,,Matthews Beach,2,4.0,3.0,1.0,70.0,1.0,47.70649,-122.279164,2016-01-19 20:27:03.956840
1252147,110917.0,Entire home/apt,,Fairmount Park,34,5.0,4.0,1.0,200.0,2.0,47.548995,-122.383452,2016-01-19 20:26:28.438219
8814555,30911566.0,Entire home/apt,,South Lake Union,0,,2.0,1.0,88.0,1.0,47.620362,-122.344629,2016-01-19 20:26:12.777912
3534364,3010798.0,Entire home/apt,,Belltown,10,4.5,2.0,1.0,100.0,2.0,47.612978,-122.350977,2016-01-19 20:26:09.500990
7789438,2594393.0,Entire home/apt,,Broadway,19,5.0,2.0,1.0,139.0,2.0,47.619326,-122.32582,2016-01-19 20:26:05.915322
5104077,6358721.0,Entire home/apt,,Cedar Park,3,4.5,5.0,3.0,110.0,3.0,47.721247,-122.287731,2016-01-19 20:25:57.704891
8027776,35961304.0,Entire home/apt,,Belltown,40,5.0,4.0,0.0,99.0,1.0,47.615686,-122.340375,2016-01-19 20:25:53.653293
7714585,27603433.0,Private room,,Loyal Heights,10,5.0,2.0,1.0,55.0,1.0,47.685894,-122.378382,2016-01-19 20:25:49.582964
4787415,14282414.0,Entire home/apt,,North Queen Anne,0,,4.0,3.0,175.0,3.0,47.641811,-122.374071,2016-01-19 20:25:43.969194
8722230,1623580.0,Entire home/apt,,Belltown,0,,2.0,0.0,160.0,1.0,47.61603,-122.350077,2016-01-19 20:25:40.145568
815017,3404649.0,Shared room,,North Beacon Hill,136,4.5,2.0,1.0,55.0,1.0,47.571813,-122.305381,2016-01-19 20:25:10.069750
1633986,1797680.0,Entire home/apt,,Broadway,33,5.0,2.0,1.0,199.0,1.0,47.615303,-122.327702,2016-01-19 20:25:06.242493
