room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13796733,1243056,Shared room,,University District,0,,1,,45.0,3.0,47.657167,-122.319535,2016-11-24 19:02:09.538037
13551080,78026430,Entire home/apt,,Broadway,7,5.0,3,,149.0,1.0,47.617413,-122.324728,2016-11-24 19:01:37.910578
12765086,13464919,Private room,,Ravenna,1,,1,,53.0,1.0,47.678017,-122.297214,2016-11-24 19:01:29.668899
8579219,538143,Entire home/apt,,Mid-Beacon Hill,2,,7,,175.0,3.0,47.555876,-122.30475,2016-11-24 19:01:26.989467
13697444,15082394,Entire home/apt,,Roosevelt,15,5.0,8,,250.0,1.0,47.674674,-122.317998,2016-11-24 19:01:23.218197
5403847,28011170,Private room,,Meadowbrook,46,5.0,2,,42.0,2.0,47.711252,-122.294039,2016-11-24 18:59:19.358872
11850526,63157637,Private room,,Broadway,16,5.0,4,,75.0,1.0,47.623054,-122.318114,2016-11-24 18:59:16.276864
11751738,45031458,Private room,,Lawton Park,34,4.0,2,,40.0,1.0,47.656155,-122.396196,2016-11-24 18:58:02.563480
14998887,75343272,Private room,,Wallingford,9,4.5,2,,35.0,1.0,47.660694,-122.323867,2016-11-24 18:57:52.107593
12905221,70716126,Entire home/apt,,Broadway,0,,2,,107.0,2.0,47.617053,-122.321487,2016-11-24 18:57:48.533466
8194286,43134999,Entire home/apt,,Greenwood,1,,4,,100.0,2.0,47.696926,-122.352465,2016-11-24 18:57:36.123625
6133078,21943646,Private room,,Minor,32,5.0,5,,66.0,,47.603356,-122.306061,2016-11-24 18:57:27.107036
11590873,10393527,Entire home/apt,,Green Lake,35,4.5,2,,66.0,1.0,47.675142,-122.325261,2016-11-24 18:57:09.496811
3505829,6668610,Entire home/apt,,Wallingford,9,5.0,8,,575.0,2.0,47.659229,-122.327072,2016-11-24 18:56:46.418627
15773658,41668075,Entire home/apt,,Lower Queen Anne,3,,4,,185.0,1.0,47.626404,-122.359378,2016-11-24 18:56:11.142230
13296754,75060464,Entire home/apt,,Riverview,13,5.0,2,,84.0,3.0,47.553562,-122.354914,2016-11-24 18:56:07.169962
6813846,707754,Entire home/apt,,Fremont,16,5.0,4,,175.0,2.0,47.660221,-122.350659,2016-11-24 18:56:00.947961
12476587,4849260,Entire home/apt,,North Beacon Hill,0,,4,,120.0,12.0,47.573327,-122.301183,2016-11-24 18:55:13.817996
7873789,1645336,Entire home/apt,,Whittier Heights,112,5.0,7,,91.0,2.0,47.682777,-122.372376,2016-11-24 18:54:42.878091
10904797,56511052,Entire home/apt,,Columbia City,33,5.0,3,,75.0,2.0,47.564652,-122.290012,2016-11-24 18:54:21.472400
279063,1382925,Private room,,Broadway,383,4.5,2,,89.0,1.0,47.62465,-122.316889,2016-11-24 18:54:18.094007
2215336,11299221,Entire home/apt,,Green Lake,27,4.5,5,,99.0,3.0,47.673731,-122.334571,2016-11-24 18:54:09.759583
13894543,5628178,Private room,,Loyal Heights,15,5.0,2,,100.0,1.0,47.678614,-122.377826,2016-11-24 18:53:52.875262
13078053,22829968,Entire home/apt,,North College Park,26,5.0,6,,100.0,3.0,47.69946,-122.336186,2016-11-24 18:53:49.930588
15165954,1725468,Private room,,Rainier Beach,0,,1,,45.0,,47.513299,-122.271674,2016-11-24 18:53:46.831102
4524575,20853099,Entire home/apt,,Fremont,57,5.0,2,,108.0,5.0,47.657078,-122.358795,2016-11-24 18:53:42.778305
