room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
18200107,1315,125627866,Shared room,,Seattle,,South Lake Union,14,4.5,2,1.0,,65.0,,2017-06-11 18:05:46.193434,47.620953,-122.346225,0101000020E6100000B003E78C28965EC032AD4D637BCF4740
14917333,1315,1243056,Shared room,,Seattle,,Broadway,0,0.0,1,1.0,,49.0,,2017-06-11 18:05:44.961768,47.619095,-122.324279,0101000020E6100000E5F1B4FCC0945EC0FE0E45813ECF4740
13785416,1315,1243056,Shared room,,Seattle,,University District,0,0.0,1,1.0,,50.0,,2017-06-11 18:05:44.959341,47.657222,-122.319709,0101000020E610000029CFBC1C76945EC0191BBAD91FD44740
10905835,1315,1243056,Shared room,,Seattle,,University District,0,0.0,1,1.0,,48.0,,2017-06-11 18:05:44.957212,47.658444,-122.317625,0101000020E610000017D9CEF753945EC0AC1F9BE447D44740
13785800,1315,1243056,Shared room,,Seattle,,University District,0,0.0,1,1.0,,48.0,,2017-06-11 18:05:44.955048,47.658143,-122.317869,0101000020E610000062DA37F757945EC0B18BA2073ED44740
15785481,1315,1243056,Shared room,,Seattle,,Broadway,0,0.0,1,1.0,,49.0,,2017-06-11 18:05:44.952065,47.618903,-122.322983,0101000020E61000007E8AE3C0AB945EC0BA32A83638CF4740
15832380,1315,1243056,Shared room,,Seattle,,Broadway,0,0.0,1,1.0,,49.0,,2017-06-11 18:05:44.947385,47.617288,-122.324873,0101000020E61000009E961FB8CA945EC04C1B0E4B03CF4740
13796851,1315,1243056,Shared room,,Seattle,,University District,0,0.0,1,1.0,,45.0,,2017-06-11 18:05:43.291425,47.658868,-122.317429,0101000020E61000005473B9C150945EC0C23060C955D44740
13796800,1315,1243056,Shared room,,Seattle,,University District,0,0.0,1,1.0,,45.0,,2017-06-11 18:05:43.288076,47.657925,-122.319458,0101000020E6100000849CF7FF71945EC0431CEBE236D44740
10905975,1315,1243056,Shared room,,Seattle,,University District,1,0.0,1,1.0,,50.0,,2017-06-11 18:05:43.283348,47.65792,-122.317933,0101000020E61000006D54A70359945EC031B1F9B836D44740
10905695,1315,1243056,Shared room,,Seattle,,University District,1,0.0,1,1.0,,48.0,,2017-06-11 18:05:43.279554,47.657169,-122.319141,0101000020E610000004745FCE6C945EC0F778211D1ED44740
8155580,1315,1243056,Shared room,,Seattle,,University District,3,5.0,1,1.0,,48.0,,2017-06-11 18:05:43.276081,47.658249,-122.317639,0101000020E6100000C93B873254945EC0F6CFD38041D44740
15832562,1315,1243056,Shared room,,Seattle,,Broadway,0,0.0,1,1.0,,49.0,,2017-06-11 18:05:43.272590,47.61816,-122.323225,0101000020E6100000F90FE9B7AF945EC002D9EBDD1FCF4740
13785835,1315,1243056,Shared room,,Seattle,,University District,1,0.0,1,1.0,,48.0,,2017-06-11 18:05:43.270093,47.658287,-122.318983,0101000020E6100000B83EAC376A945EC0E43098BF42D44740
3888924,1315,1243056,Shared room,,Seattle,,Wallingford,5,4.5,1,1.0,,45.0,,2017-06-11 18:05:43.264270,47.651276,-122.332797,0101000020E61000003ECDC98B4C955EC0B95510035DD34740
3889299,1315,1243056,Shared room,,Seattle,,Wallingford,5,4.5,1,1.0,,45.0,,2017-06-11 18:05:43.262239,47.651691,-122.332524,0101000020E6100000A648BE1248955EC07C0C569C6AD34740
15831406,1315,1243056,Shared room,,Seattle,,Broadway,0,0.0,1,1.0,,49.0,,2017-06-11 18:05:43.259051,47.61821,-122.325023,0101000020E6100000A9DC442DCD945EC0B3075A8121CF4740
14918360,1315,1243056,Shared room,,Seattle,,Broadway,1,0.0,1,1.0,,60.0,,2017-06-11 18:05:43.256565,47.617727,-122.324475,0101000020E6100000A857CA32C4945EC0986DA7AD11CF4740
10905619,1315,1243056,Shared room,,Seattle,,University District,1,0.0,1,1.0,,48.0,,2017-06-11 18:05:43.254026,47.657936,-122.318848,0101000020E61000004819710168945EC0376E313F37D44740
15831717,1315,1243056,Shared room,,Seattle,,Broadway,1,0.0,1,1.0,,49.0,,2017-06-11 18:05:43.251113,47.618348,-122.323597,0101000020E61000005C0531D0B5945EC004C6FA0626CF4740
3732076,1315,1243056,Shared room,,Seattle,,Wallingford,10,4.5,1,1.0,,45.0,,2017-06-11 18:05:43.246105,47.649898,-122.331256,0101000020E6100000A4A65D4C33955EC02FDE8FDB2FD34740
8154238,1315,1243056,Shared room,,Seattle,,University District,5,5.0,1,1.0,,48.0,,2017-06-11 18:05:43.242392,47.657329,-122.317467,0101000020E6100000CAA31B6151945EC02FDB4E5B23D44740
15832286,1315,1243056,Shared room,,Seattle,,Broadway,3,5.0,1,1.0,,49.0,,2017-06-11 18:05:43.234906,47.616994,-122.324356,0101000020E6100000BA10AB3FC2945EC003EACDA8F9CE4740
14918206,1315,1243056,Shared room,,Seattle,,Broadway,0,0.0,1,1.0,,49.0,,2017-06-11 18:05:41.095365,47.617528,-122.324212,0101000020E6100000213EB0E3BF945EC0A12E52280BCF4740
