room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13418528,1049,75961250,Shared room,,Seattle,,Roosevelt,1,0.0,3,1.0,,70.0,,2017-04-09 11:23:18.870100,47.685103,-122.313484,0101000020E61000006FF4311F10945EC01CB28174B1D74740
16617567,1049,109568126,Shared room,,Seattle,,Mount Baker,0,0.0,1,1.0,,200.0,,2017-04-09 11:23:13.265165,47.572852,-122.291112,0101000020E610000048DE3994A1925EC05EB9DE3653C94740
13785072,1049,1243056,Shared room,,Seattle,,University District,0,0.0,4,1.0,,180.0,,2017-04-09 11:23:12.004629,47.657006,-122.31925,0101000020E6100000DF4F8D976E945EC04DA3C9C518D44740
13868361,1049,1243056,Shared room,,Seattle,,Wallingford,0,0.0,4,1.0,,180.0,,2017-04-09 11:23:12.001966,47.64973,-122.332522,0101000020E6100000D5CC5A0A48955EC0739D465A2AD34740
13877143,1049,1243056,Shared room,,Seattle,,Wallingford,0,0.0,4,1.0,,180.0,,2017-04-09 11:23:11.998078,47.651092,-122.331426,0101000020E6100000D2C2651536955EC0F7578FFB56D34740
13877457,1049,1243056,Shared room,,Seattle,,Wallingford,0,0.0,4,1.0,,180.0,,2017-04-09 11:23:11.995501,47.65175,-122.332131,0101000020E610000038BF61A241955EC08195438B6CD34740
3757858,1049,19196841,Shared room,,Seattle,,Minor,28,5.0,2,1.0,,129.0,,2017-04-09 11:23:10.571444,47.609777,-122.313,0101000020E610000079E9263108945EC02F6D382C0DCE4740
14639624,1049,9577961,Shared room,,Seattle,,Briarcliff,1,0.0,1,1.0,,129.0,,2017-04-09 11:23:10.568730,47.650179,-122.412985,0101000020E6100000452FA3586E9A5EC0E3C5C21039D34740
12623261,1049,45287165,Shared room,,Seattle,,Broadway,9,5.0,1,1.0,,110.0,,2017-04-09 11:23:09.160701,47.616074,-122.326894,0101000020E61000008DD0CFD4EB945EC03CF54883DBCE4740
17240892,1049,116162089,Shared room,,Seattle,,Bryant,0,0.0,1,1.0,,115.0,,2017-04-09 11:23:09.156663,47.662065,-122.289325,0101000020E6100000933A014D84925EC0C269C18BBED44740
14961021,1049,47267675,Shared room,,Seattle,,Broadway,1,0.0,2,1.0,,100.0,,2017-04-09 11:23:07.405193,47.617782,-122.327752,0101000020E6100000B64C86E3F9945EC05B07077B13CF4740
13395087,1049,75961250,Shared room,,Seattle,,Roosevelt,0,0.0,3,1.0,,99.0,,2017-04-09 11:23:07.401080,47.684505,-122.312368,0101000020E610000049145AD6FD935EC068791EDC9DD74740
13785508,1049,1243056,Shared room,,Seattle,,University District,0,0.0,2,1.0,,96.0,,2017-04-09 11:23:07.398811,47.658844,-122.319661,0101000020E6100000A033695375945EC03A950C0055D44740
13877694,1049,1243056,Shared room,,Seattle,,Wallingford,0,0.0,2,1.0,,90.0,,2017-04-09 11:23:07.396582,47.649474,-122.332518,0101000020E610000034D593F947955EC018CDCAF621D34740
13785654,1049,1243056,Shared room,,Seattle,,University District,0,0.0,2,1.0,,96.0,,2017-04-09 11:23:07.391520,47.658629,-122.319563,0101000020E6100000BF805EB873945EC03D997FF44DD44740
13418525,1049,75961250,Shared room,,Seattle,,Roosevelt,0,0.0,2,1.0,,99.0,,2017-04-09 11:23:07.388877,47.685374,-122.313325,0101000020E61000003B014D840D945EC0ADC3D155BAD74740
13878032,1049,1243056,Shared room,,Seattle,,Wallingford,0,0.0,2,1.0,,90.0,,2017-04-09 11:23:07.385272,47.65,-122.332223,0101000020E6100000A8FE412443955EC03333333333D34740
15312556,1049,55963544,Shared room,,Seattle,,Fremont,0,0.0,1,1.0,,88.0,,2017-04-09 11:23:07.380771,47.662319,-122.352404,0101000020E6100000B2BE81C98D965EC07C4276DEC6D44740
6391711,1049,26380561,Shared room,,Seattle,,Lower Queen Anne,0,0.0,1,1.0,,98.0,,2017-04-09 11:23:07.373895,47.627376,-122.347544,0101000020E6100000F27A30293E965EC0CC2555DB4DD04740
10929753,1049,56428003,Shared room,,Seattle,,Broadway,1,0.0,1,1.0,,100.0,,2017-04-09 11:23:07.371152,47.619086,-122.322567,0101000020E610000035F10EF0A4945EC0ABB4C5353ECF4740
13877900,1049,1243056,Shared room,,Seattle,,Wallingford,0,0.0,2,1.0,,90.0,,2017-04-09 11:23:07.367122,47.64981,-122.332202,0101000020E61000009C6A2DCC42955EC0904E5DF92CD34740
12225830,1049,6041060,Shared room,,Seattle,,North Delridge,13,5.0,4,1.0,,100.0,,2017-04-09 11:23:07.362962,47.556544,-122.363195,0101000020E610000087C43D963E975EC07C6473D53CC74740
15133427,1049,93058909,Shared room,,Seattle,,Broadway,4,4.5,2,1.0,,80.0,,2017-04-09 11:23:06.019498,47.617498,-122.326126,0101000020E61000000518963FDF945EC036ACA92C0ACF4740
