room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13468514,77034381,Entire home/apt,,Belltown,25,4.5,4,0.0,150.0,1.0,47.615399,-122.342368,2016-10-22 05:34:17.975104
13173633,73633453,Private room,,Columbia City,4,4.5,2,1.0,75.0,1.0,47.555996,-122.28264,2016-10-22 05:34:01.189644
5104918,9555983,Entire home/apt,,Portage Bay,62,4.5,5,2.0,197.0,,47.651125,-122.320431,2016-10-22 05:33:52.656702
6990882,32807985,Entire home/apt,,Leschi,77,5.0,10,3.0,250.0,2.0,47.596971,-122.296482,2016-10-22 05:33:42.212400
6288141,32689598,Entire home/apt,,Fremont,15,4.5,6,2.0,149.0,1.0,47.66002,-122.345458,2016-10-22 05:33:38.147775
8014547,42317546,Entire home/apt,,Broadway,30,5.0,2,0.0,140.0,2.0,47.620131,-122.324029,2016-10-22 05:33:25.505485
12158587,60119908,Private room,,High Point,18,5.0,2,1.0,45.0,1.0,47.551213,-122.373643,2016-10-22 05:33:15.790292
8064970,42594280,Entire home/apt,,West Queen Anne,2,,4,2.0,180.0,2.0,47.63706,-122.365135,2016-10-22 05:32:38.244347
6421243,8284327,Entire home/apt,,North Beacon Hill,32,4.5,2,1.0,65.0,4.0,47.572749,-122.307432,2016-10-22 05:32:31.677639
8186781,16882707,Entire home/apt,,Minor,36,4.5,4,2.0,139.0,3.0,47.610488,-122.314162,2016-10-22 05:32:03.782398
1097766,6033000,Private room,,Olympic Hills,51,5.0,2,1.0,47.0,1.0,47.72323,-122.303732,2016-10-22 05:32:00.718354
3812725,1092756,Entire home/apt,,Ravenna,3,4.5,8,3.0,175.0,4.0,47.682087,-122.299079,2016-10-22 05:31:57.818936
11189887,8534462,Entire home/apt,,First Hill,3,5.0,3,1.0,175.0,3.0,47.609828,-122.324279,2016-10-22 05:31:53.576704
13909922,19357247,Private room,,Fremont,1,,1,1.0,60.0,10.0,47.654587,-122.351565,2016-10-22 05:31:50.307556
8805211,8534462,Entire home/apt,,Central Business District,3,5.0,3,1.0,219.0,3.0,47.61411,-122.332481,2016-10-22 05:31:38.999394
9049018,47213976,Entire home/apt,,Lower Queen Anne,2,,2,1.0,100.0,1.0,47.624552,-122.363324,2016-10-22 05:31:19.832621
13623944,23983389,Private room,,Broadview,21,5.0,2,1.0,65.0,,47.713591,-122.362741,2016-10-22 05:31:13.987075
14153972,73666844,Private room,,University District,6,4.0,2,1.0,45.0,1.0,47.667259,-122.316235,2016-10-22 05:31:00.047270
490076,3921530,Entire home/apt,,Fremont,141,4.5,3,1.0,105.0,2.0,47.654298,-122.352589,2016-10-22 05:30:53.494176
6106498,31684830,Private room,,West Woodland,45,5.0,2,1.0,55.0,2.0,47.665787,-122.361992,2016-10-22 05:30:37.321583
11498160,60556469,Entire home/apt,,Fairmount Park,42,5.0,4,1.0,94.0,2.0,47.557168,-122.38277,2016-10-22 05:30:21.266854
11433918,4874276,Entire home/apt,,Belltown,11,5.0,4,1.0,130.0,3.0,47.615812,-122.346602,2016-10-22 05:30:13.361247
13785871,1243056,Private room,,University District,0,,2,1.0,100.0,2.0,47.658297,-122.319468,2016-10-22 05:30:09.987043
13894543,5628178,Private room,,Loyal Heights,13,5.0,2,1.0,100.0,1.0,47.678614,-122.377826,2016-10-22 05:29:30.348682
1214306,3894778,Private room,,Minor,115,5.0,2,1.0,72.0,2.0,47.616002,-122.30806,2016-10-22 05:29:27.343391
609610,3022709,Entire home/apt,,Columbia City,22,5.0,4,1.0,90.0,2.0,47.569615,-122.293955,2016-10-22 05:29:17.705254
10700054,115675,Entire home/apt,,North Beach/Blue Ridge,5,4.0,8,3.0,275.0,2.0,47.697864,-122.377536,2016-10-22 05:29:02.009526
13295794,29051256,Entire home/apt,,Belltown,18,5.0,3,1.0,199.0,2.0,47.61784,-122.349581,2016-10-22 05:28:59.552767
11156208,35961304,Entire home/apt,,Belltown,56,4.5,4,0.0,129.0,1.0,47.616903,-122.345538,2016-10-22 05:28:55.231838
10099781,43561137,Private room,,Mid-Beacon Hill,5,5.0,2,1.0,36.0,1.0,47.541565,-122.301212,2016-10-22 05:28:51.403016
5619397,5333441,Entire home/apt,,Loyal Heights,0,,4,2.0,150.0,4.0,47.681318,-122.390759,2016-10-22 05:28:14.297272
9886971,8534462,Entire home/apt,,South Lake Union,2,,3,1.0,183.0,3.0,47.619455,-122.337875,2016-10-22 05:27:51.319913
12730043,17982106,Entire home/apt,,Meadowbrook,3,5.0,2,1.0,150.0,3.0,47.714754,-122.297175,2016-10-22 05:27:33.360917
1652107,5325329,Entire home/apt,,South Beacon Hill,106,4.5,8,3.0,175.0,1.0,47.525662,-122.281156,2016-10-22 05:27:29.538236
12174773,16756919,Entire home/apt,,Phinney Ridge,7,4.5,6,2.0,190.0,2.0,47.682479,-122.352007,2016-10-22 05:27:21.922907
12762105,8534462,Entire home/apt,,Minor,3,4.5,2,0.0,139.0,3.0,47.613662,-122.312749,2016-10-22 05:27:16.175141
6793490,5507055,Entire home/apt,,North Beacon Hill,68,4.5,3,1.0,75.0,2.0,47.584191,-122.311652,2016-10-22 05:26:32.453799
7881802,3584237,Entire home/apt,,Greenwood,26,4.0,10,3.0,300.0,2.0,47.687658,-122.357525,2016-10-22 05:26:21.297590
12765955,12157586,Private room,,Belltown,0,,1,1.0,50.0,1.0,47.617554,-122.355635,2016-10-22 05:26:13.877052
11478573,83099,Entire home/apt,,Phinney Ridge,11,4.5,4,2.0,159.0,4.0,47.68204,-122.35978,2016-10-22 05:26:05.159386
4639465,11587678,Private room,,Mann,15,5.0,2,1.0,68.0,1.0,47.618949,-122.29835,2016-10-22 05:25:54.145135
14860196,93068239,Private room,,Mann,8,5.0,2,1.0,65.0,1.0,47.609256,-122.298184,2016-10-22 05:25:36.508305
4017140,20159192,Private room,,Leschi,65,4.5,2,1.0,58.0,2.0,47.591768,-122.294322,2016-10-22 05:25:27.454853
3120652,9582031,Entire home/apt,,Columbia City,53,4.5,4,2.0,200.0,1.0,47.56318,-122.284923,2016-10-22 05:25:19.266874
12113826,31751507,Shared room,,Pike-Market,20,5.0,8,1.0,38.0,1.0,47.608211,-122.339863,2016-10-22 05:25:10.422283
1118153,6137030,Private room,,Fremont,97,4.5,2,1.0,50.0,1.0,47.65964,-122.344066,2016-10-22 05:25:02.547712
13640928,8943570,Private room,,Gatewood,17,4.5,4,1.0,111.0,1.0,47.546333,-122.377705,2016-10-22 05:24:48.035685
13206288,74004774,Entire home/apt,,Victory Heights,7,5.0,4,2.0,125.0,1.0,47.70281,-122.311664,2016-10-22 05:24:34.149757
12966925,71320626,Entire home/apt,,Eastlake,16,4.0,2,2.0,89.0,1.0,47.651341,-122.3216,2016-10-22 05:24:28.028784
15229760,66646597,Entire home/apt,,Eastlake,0,,3,1.0,150.0,2.0,47.637808,-122.32844,2016-10-22 05:24:23.812760
