room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12068660,10021172,Private room,,Rainier Beach,6,5.0,2,1.0,50.0,2.0,47.518447,-122.264272,2016-07-19 14:11:47.044770
11590752,61303757,Entire home/apt,,Eastlake,3,5.0,8,4.0,575.0,2.0,47.651168,-122.323629,2016-07-19 14:11:38.132777
4310085,22372266,Entire home/apt,,North Queen Anne,49,4.5,6,2.0,137.0,1.0,47.639772,-122.365913,2016-07-19 14:11:35.170809
1820794,9533123,Entire home/apt,,East Queen Anne,139,5.0,2,0.0,101.0,2.0,47.630333,-122.347627,2016-07-19 14:11:31.568339
2459519,12575330,Entire home/apt,,Portage Bay,18,4.5,10,6.0,700.0,3.0,47.645749,-122.318581,2016-07-19 14:11:23.884342
12847258,5312600,Entire home/apt,,Madrona,4,4.5,2,0.0,89.0,2.0,47.616502,-122.295664,2016-07-19 14:11:16.037952
10569919,54518454,Entire home/apt,,Central Business District,3,5.0,6,2.0,250.0,3.0,47.607309,-122.338496,2016-07-19 14:11:09.552053
11827325,58057502,Private room,,Minor,12,5.0,1,1.0,90.0,26.0,47.607683,-122.304337,2016-07-19 14:10:58.090706
2488228,12736784,Private room,,Broadway,134,5.0,2,1.0,129.0,2.0,47.620875,-122.318054,2016-07-19 14:10:54.235455
13543984,7271601,Private room,,Greenwood,0,,1,1.0,48.0,2.0,47.702878,-122.346388,2016-07-19 14:10:46.759964
13813664,47478610,Entire home/apt,,Broadway,0,,5,0.0,139.0,1.0,47.614632,-122.317095,2016-07-19 14:10:43.795244
4993710,25746073,Entire home/apt,,Fremont,57,5.0,2,1.0,120.0,1.0,47.653397,-122.353524,2016-07-19 14:10:40.918557
7501583,38023946,Entire home/apt,,University District,0,,6,2.0,275.0,1.0,47.668816,-122.318442,2016-07-19 14:10:37.925310
7241905,26713142,Entire home/apt,,Atlantic,7,5.0,2,1.0,115.0,20.0,47.600113,-122.303754,2016-07-19 14:10:35.377161
