room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
11457884,23502285,Entire home/apt,,University District,6,4.5,2,0.0,109.0,1.0,47.658776,-122.314918,2016-09-18 22:17:51.885214
14558980,13193391,Entire home/apt,,Roosevelt,3,5.0,2,0.0,90.0,1.0,47.676292,-122.31567,2016-09-18 22:17:39.330915
12853295,70227750,Entire home/apt,,Lower Queen Anne,5,5.0,4,1.0,120.0,3.0,47.627827,-122.357953,2016-09-18 22:17:36.231008
12223760,42537846,Entire home/apt,,Broadway,15,4.5,1,0.0,52.0,1.0,47.624615,-122.316809,2016-09-18 22:17:29.354002
7697170,658155,Entire home/apt,,Broadway,45,5.0,6,2.0,155.0,,47.629384,-122.321749,2016-09-18 22:17:27.065435
7247767,37952534,Private room,,University District,39,5.0,2,1.0,78.0,2.0,47.668523,-122.315454,2016-09-18 22:17:17.382890
3402376,3903203,Entire home/apt,,Genesee,5,5.0,4,2.0,300.0,4.0,47.562723,-122.395238,2016-09-18 22:17:09.614770
5116753,26435828,Entire home/apt,,Minor,1,,2,1.0,180.0,20.0,47.611546,-122.310615,2016-09-18 22:17:05.317221
14898269,30727359,Private room,,Columbia City,0,,2,1.0,75.0,1.0,47.564552,-122.294956,2016-09-18 22:17:05.241260
13451764,658155,Entire home/apt,,Minor,10,5.0,4,1.0,220.0,3.0,47.610333,-122.313819,2016-09-18 22:16:56.365439
14717534,41020722,Entire home/apt,,Phinney Ridge,0,,2,0.0,55.0,2.0,47.673253,-122.352878,2016-09-18 22:16:56.008137
461567,2294267,Entire home/apt,,Crown Hill,162,4.5,3,1.0,85.0,1.0,47.69736,-122.376222,2016-09-18 22:16:49.536900
14757411,64169687,Entire home/apt,,North Queen Anne,1,,2,1.0,85.0,7.0,47.641941,-122.374728,2016-09-18 22:16:49.368057
14501336,89544303,Entire home/apt,,Belltown,7,5.0,8,2.0,350.0,2.0,47.616781,-122.352223,2016-09-18 22:16:43.376681
6627403,34689188,Private room,,Broadway,33,5.0,2,1.0,125.0,2.0,47.615062,-122.324757,2016-09-18 22:16:36.681509
7500976,26736911,Entire home/apt,,Minor,18,5.0,6,2.0,125.0,,47.607251,-122.308195,2016-09-18 22:16:33.774455
8306501,8481644,Private room,,Fremont,30,5.0,2,1.0,60.0,1.0,47.658653,-122.360815,2016-09-18 22:16:17.229928
10106055,51860756,Private room,,West Queen Anne,36,4.5,2,1.0,100.0,2.0,47.633394,-122.37192,2016-09-18 22:16:14.913395
12544256,1650570,Entire home/apt,,Broadway,2,,3,1.0,108.0,2.0,47.629801,-122.325592,2016-09-18 22:16:14.761314
394408,1971733,Entire home/apt,,Fremont,44,5.0,4,2.0,150.0,1.0,47.658107,-122.357389,2016-09-18 22:16:09.687363
279209,601384,Entire home/apt,,Loyal Heights,2,,2,1.0,150.0,2.0,47.681225,-122.379711,2016-09-18 22:15:58.885902
13494670,73414375,Entire home/apt,,Crown Hill,1,,2,2.0,60.0,7.0,47.70217,-122.368949,2016-09-18 22:15:56.642152
10104007,43561137,Private room,,Mid-Beacon Hill,7,5.0,1,1.0,34.0,2.0,47.541194,-122.298299,2016-09-18 22:15:53.457191
8630702,38370991,Entire home/apt,,Loyal Heights,10,4.5,6,2.0,95.0,2.0,47.683267,-122.37732,2016-09-18 22:15:47.145574
934216,4962900,Entire home/apt,,Central Business District,31,4.5,6,2.0,137.0,,47.606619,-122.339025,2016-09-18 22:15:46.810442
5682,8993,Entire home/apt,,South Delridge,336,5.0,2,1.0,48.0,3.0,47.52398,-122.359891,2016-09-18 22:15:32.042895
10299195,52990042,Private room,,Greenwood,0,,1,1.0,35.0,1.0,47.701867,-122.345236,2016-09-18 22:15:28.871909
13560642,78131225,Shared room,,North Beacon Hill,1,,1,1.0,28.0,1.0,47.579708,-122.314736,2016-09-18 22:15:14.321231
4468524,21649497,Private room,,Leschi,85,5.0,1,1.0,49.0,,47.604296,-122.294359,2016-09-18 22:15:08.521263
