room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4910140,25284108,Private room,,Genesee,20,5.0,1.0,1.0,49.0,1.0,47.562605,-122.396702,2016-03-22 17:38:21.473378
7069143,21773340,Private room,,Fremont,17,4.5,2.0,1.0,70.0,2.0,47.660695,-122.349925,2016-03-22 17:38:17.869635
4968752,25616243,Entire home/apt,,Green Lake,57,5.0,5.0,2.0,105.0,,47.676233,-122.326089,2016-03-22 17:38:11.327632
7900497,23027452,Entire home/apt,,North Delridge,1,5.0,2.0,0.0,85.0,1.0,47.566547,-122.365442,2016-03-22 17:38:03.551013
2800448,8614915,Private room,,Mann,20,4.5,2.0,1.0,65.0,2.0,47.60327,-122.302161,2016-03-22 17:37:42.302025
4211836,8904803,Private room,,Green Lake,4,5.0,2.0,1.0,79.0,1.0,47.681106,-122.323946,2016-03-22 17:37:35.264668
2249292,10136334,Entire home/apt,,Madrona,69,5.0,4.0,2.0,75.0,1.0,47.608144,-122.291963,2016-03-22 17:37:24.379311
1594412,1288618,Private room,,Gatewood,2,4.5,2.0,1.0,125.0,1.0,47.537425,-122.377866,2016-03-22 17:37:21.087525
7153101,37461306,Entire home/apt,,University District,42,5.0,5.0,3.0,92.0,1.0,47.656658,-122.320314,2016-03-22 17:37:18.757324
4334804,8154571,Entire home/apt,,Sunset Hill,0,,,2.0,450.0,2.0,47.671335,-122.402303,2016-03-22 17:37:12.062579
8385444,44186779,Entire home/apt,,Maple Leaf,15,4.5,2.0,1.0,74.0,1.0,47.693102,-122.308631,2016-03-22 17:37:08.122178
6824408,5325813,Entire home/apt,,Minor,3,5.0,,3.0,198.0,3.0,47.605107,-122.303708,2016-03-22 17:37:05.643649
7931386,41823177,Entire home/apt,,Atlantic,5,5.0,4.0,3.0,175.0,2.0,47.595618,-122.310821,2016-03-22 17:37:02.289813
9927337,269784,Entire home/apt,,North Admiral,3,4.5,2.0,1.0,85.0,1.0,47.578782,-122.397904,2016-03-22 17:37:00.464496
2373176,9232171,Entire home/apt,,North Queen Anne,79,5.0,2.0,1.0,117.0,2.0,47.639925,-122.367431,2016-03-22 17:36:54.803420
3544953,15791829,Private room,,East Queen Anne,18,5.0,2.0,1.0,99.0,2.0,47.640711,-122.346318,2016-03-22 17:36:50.909267
6577295,19262538,Private room,,Columbia City,105,5.0,2.0,1.0,69.0,1.0,47.563608,-122.294796,2016-03-22 17:36:42.671248
649243,2308816,Private room,,Fremont,144,5.0,2.0,1.0,75.0,3.0,47.655872,-122.356884,2016-03-22 17:36:39.068471
