room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1252740,2931003,Private room,,Wallingford,69,5.0,2.0,1.0,70.0,2.0,47.662668,-122.345044,2016-02-22 12:07:00.469995
4075152,3319535,Private room,,North Beacon Hill,0,,2.0,1.0,89.0,2.0,47.579752,-122.309385,2016-02-22 12:06:58.301665
5482204,28432113,Private room,,Fremont,0,,2.0,1.0,185.0,1.0,47.663613,-122.349519,2016-02-22 12:06:54.655629
3727017,19039209,Entire home/apt,,Mann,3,5.0,4.0,2.0,199.0,2.0,47.61518,-122.301613,2016-02-22 12:06:49.348704
5798152,3074414,Entire home/apt,,University District,4,4.0,5.0,2.0,155.0,1.0,47.664345,-122.303982,2016-02-22 12:06:36.251687
9370007,23792018,Entire home/apt,,East Queen Anne,0,,2.0,1.0,95.0,2.0,47.629172,-122.347479,2016-02-22 12:06:34.000439
8627921,34946797,Entire home/apt,,Columbia City,23,5.0,4.0,1.0,65.0,2.0,47.560859,-122.275968,2016-02-22 12:06:27.971186
3793185,19476601,Entire home/apt,,Belltown,25,5.0,3.0,1.0,150.0,2.0,47.615454,-122.333556,2016-02-22 12:06:03.835984
3739681,832888,Entire home/apt,,Wallingford,12,4.5,4.0,2.0,125.0,3.0,47.661032,-122.335164,2016-02-22 12:05:59.586519
6812054,35662043,Entire home/apt,,Broadway,4,5.0,2.0,1.0,212.0,2.0,47.623043,-122.319386,2016-02-22 12:05:56.194897
6637899,26861553,Private room,,Stevens,22,5.0,2.0,1.0,110.0,3.0,47.621456,-122.299899,2016-02-22 12:05:51.225419
6670332,20758898,Entire home/apt,,Minor,18,5.0,5.0,1.0,150.0,2.0,47.608442,-122.310376,2016-02-22 12:05:37.512380
1956274,7466082,Entire home/apt,,Adams,52,5.0,2.0,1.0,125.0,3.0,47.668692,-122.396089,2016-02-22 12:05:31.644577
8053921,11972863,Shared room,,Broadway,17,5.0,2.0,1.0,45.0,,47.619732,-122.316815,2016-02-22 12:05:18.545344
8054518,20242835,Entire home/apt,,Broadway,11,4.5,2.0,0.0,97.0,2.0,47.623453,-122.313767,2016-02-22 12:05:13.679791
9137335,5820099,Private room,,Broadway,3,3.5,2.0,1.0,65.0,1.0,47.618682,-122.321363,2016-02-22 12:05:03.473721
7329805,38387642,Entire home/apt,,Lawton Park,9,4.5,,2.0,200.0,2.0,47.648992,-122.397112,2016-02-22 12:04:47.564787
4803403,24745881,Entire home/apt,,Wallingford,10,5.0,2.0,1.0,85.0,2.0,47.661981,-122.346096,2016-02-22 12:04:22.212940
7970663,35246915,Entire home/apt,,Phinney Ridge,6,4.0,4.0,1.0,150.0,1.0,47.668697,-122.340262,2016-02-22 12:04:20.010444
3120652,9582031,Entire home/apt,,Columbia City,45,4.5,5.0,2.0,124.0,1.0,47.56318,-122.284923,2016-02-22 12:04:16.064794
9939740,15454102,Entire home/apt,,Lower Queen Anne,2,5.0,4.0,0.0,175.0,,47.621377,-122.355623,2016-02-22 12:04:12.395347
9134196,23502285,Entire home/apt,,University District,1,4.0,2.0,0.0,109.0,1.0,47.657373,-122.314606,2016-02-22 12:04:08.167571
826436,3976886,Private room,,Mount Baker,39,4.5,2.0,1.0,75.0,2.0,47.575499,-122.290645,2016-02-22 12:03:50.747986
4038347,20283872,Private room,,Greenwood,50,4.0,1.0,1.0,55.0,1.0,47.695746,-122.345945,2016-02-22 12:03:40.621615
