room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6658052,1623580.0,Entire home/apt,,Belltown,29,5.0,3.0,1.0,149.0,2.0,47.617936,-122.338395,2015-12-15 22:53:53.463279
5487934,13546801.0,Private room,,East Queen Anne,2,5.0,2.0,1.0,150.0,1.0,47.638999,-122.343574,2015-12-15 22:53:51.795179
7915432,26389600.0,Shared room,,University District,1,4.0,2.0,1.0,40.0,1.0,47.663532,-122.311492,2015-12-15 22:53:01.021586
3040278,14860162.0,Entire home/apt,,Lower Queen Anne,156,5.0,4.0,2.0,217.0,2.0,47.621055,-122.357378,2015-12-15 22:52:42.700132
803902,4047435.0,Entire home/apt,,Alki,7,5.0,,3.0,250.0,3.0,47.576378,-122.408524,2015-12-15 22:52:40.443187
5695344,4359532.0,Private room,,Meadowbrook,4,4.5,1.0,1.0,60.0,1.0,47.709351,-122.297975,2015-12-15 22:52:02.250951
2593176,8932486.0,Private room,,Minor,66,4.5,3.0,1.0,70.0,2.0,47.611111,-122.311962,2015-12-15 22:52:00.157213
224763,8243075.0,Entire home/apt,,Belltown,27,4.5,4.0,1.0,149.0,1.0,47.61386,-122.348787,2015-12-15 22:51:05.940917
8424532,658155.0,Entire home/apt,,Leschi,2,5.0,,5.0,350.0,7.0,47.604379,-122.291115,2015-12-15 22:51:01.809258
68508,340192.0,Entire home/apt,,Eastlake,0,,4.0,2.0,225.0,7.0,47.636674,-122.323155,2015-12-15 22:51:00.044517
7464897,3074414.0,Entire home/apt,,University District,4,3.0,5.0,1.0,105.0,1.0,47.663557,-122.304602,2015-12-15 22:50:58.170733
5078876,13309620.0,Entire home/apt,,Broadway,10,5.0,5.0,2.0,225.0,2.0,47.62174,-122.317839,2015-12-15 22:50:56.010443
9563458,42537846.0,Entire home/apt,,Broadway,0,,1.0,0.0,49.0,,47.623989,-122.315836,2015-12-15 22:50:52.698944
7534398,39472587.0,Private room,,Adams,6,5.0,3.0,1.0,69.0,1.0,47.67181,-122.383437,2015-12-15 22:50:50.791602
2060441,287962.0,Entire home/apt,,Loyal Heights,10,4.5,,5.0,435.0,2.0,47.67654,-122.380017,2015-12-15 22:50:47.896059
7389483,2405924.0,Entire home/apt,,First Hill,1,5.0,2.0,1.0,175.0,3.0,47.612257,-122.326366,2015-12-15 22:50:42.339097
7201336,9730643.0,Private room,,Roosevelt,13,4.5,1.0,1.0,55.0,,47.677866,-122.320452,2015-12-15 22:50:40.395253
4187961,10594158.0,Entire home/apt,,Phinney Ridge,5,5.0,4.0,1.0,88.0,1.0,47.677821,-122.361698,2015-12-15 22:50:36.315906
3383329,3443346.0,Entire home/apt,,Fremont,72,5.0,4.0,1.0,95.0,3.0,47.654516,-122.358124,2015-12-15 22:50:27.984316
7093910,32807985.0,Private room,,Leschi,2,3.0,2.0,1.0,80.0,1.0,47.595371,-122.296729,2015-12-15 22:50:17.535816
3215404,16285348.0,Entire home/apt,,Lower Queen Anne,23,4.5,2.0,1.0,119.0,1.0,47.627571,-122.353691,2015-12-15 22:50:10.560755
4968752,25616243.0,Entire home/apt,,Green Lake,46,5.0,5.0,2.0,100.0,,47.678537,-122.325013,2015-12-15 22:50:07.618097
8257837,340192.0,Entire home/apt,,Broadway,0,,,3.0,395.0,4.0,47.636983,-122.321733,2015-12-15 22:50:05.420500
6644760,34779932.0,Entire home/apt,,Madison Park,5,5.0,2.0,1.0,109.0,3.0,47.638004,-122.277791,2015-12-15 22:50:03.604185
5850789,30375214.0,Private room,,Broadway,0,,1.0,1.0,65.0,1.0,47.622517,-122.322674,2015-12-15 22:50:00.705810
6376952,33236866.0,Entire home/apt,,North Beach/Blue Ridge,8,5.0,,3.0,240.0,3.0,47.704322,-122.381792,2015-12-15 22:49:58.951334
2536507,5570855.0,Entire home/apt,,North Admiral,99,5.0,2.0,0.0,99.0,1.0,47.582741,-122.398084,2015-12-15 22:49:49.337975
935862,4962900.0,Entire home/apt,,Central Business District,11,4.5,,2.0,269.0,,47.606799,-122.338192,2015-12-15 22:49:42.389871
3592838,18099944.0,Entire home/apt,,Central Business District,110,4.5,3.0,1.0,175.0,1.0,47.610379,-122.338678,2015-12-15 22:49:09.727812
4940491,466499.0,Entire home/apt,,Fremont,7,5.0,2.0,0.0,109.0,1.0,47.654304,-122.34272,2015-12-15 22:48:53.690859
7922373,23986021.0,Entire home/apt,,Wallingford,1,5.0,4.0,0.0,99.0,2.0,47.653616,-122.33256,2015-12-15 22:48:43.390888
4681885,24212314.0,Private room,,Bitter Lake,37,4.5,2.0,1.0,65.0,1.0,47.71159,-122.354906,2015-12-15 22:48:41.989896
6776229,33944952.0,Entire home/apt,,East Queen Anne,19,5.0,4.0,1.0,120.0,,47.640017,-122.34513,2015-12-15 22:48:40.170554
3416217,15377123.0,Entire home/apt,,Minor,31,5.0,2.0,1.0,170.0,3.0,47.612501,-122.309655,2015-12-15 22:48:32.347601
7635496,9320574.0,Private room,,Olympic Hills,4,5.0,1.0,1.0,65.0,1.0,47.732087,-122.309781,2015-12-15 22:48:30.647293
2494157,5506237.0,Entire home/apt,,Fremont,8,5.0,,3.0,260.0,3.0,47.658552,-122.348265,2015-12-15 22:48:29.723196
6727729,5887608.0,Entire home/apt,,Wallingford,5,5.0,,2.0,200.0,2.0,47.64785,-122.336079,2015-12-15 22:48:26.065813
6728419,17034883.0,Entire home/apt,,Bryant,42,5.0,2.0,1.0,100.0,1.0,47.672343,-122.283291,2015-12-15 22:48:24.168975
7742525,2409388.0,Private room,,Bryant,2,5.0,2.0,1.0,58.0,1.0,47.665094,-122.284049,2015-12-15 22:48:20.458240
3543791,7325453.0,Entire home/apt,,Broadway,4,5.0,3.0,0.0,115.0,1.0,47.616304,-122.323575,2015-12-15 22:48:06.427911
4144767,430709.0,Entire home/apt,,Loyal Heights,5,4.0,2.0,0.0,95.0,3.0,47.677032,-122.389788,2015-12-15 22:48:04.528131
5372156,8534462.0,Entire home/apt,,First Hill,14,5.0,3.0,1.0,139.0,2.0,47.608348,-122.328674,2015-12-15 22:47:49.184766
6327662,32932119.0,Entire home/apt,,Bitter Lake,2,5.0,2.0,1.0,90.0,3.0,47.705649,-122.352178,2015-12-15 22:47:47.028980
3898413,20184201.0,Private room,,Fremont,21,5.0,2.0,1.0,68.0,1.0,47.658926,-122.345952,2015-12-15 22:47:45.692255
5402304,28003582.0,Entire home/apt,,Fremont,9,5.0,4.0,2.0,185.0,2.0,47.655412,-122.34431,2015-12-15 22:47:44.396940
5364414,14049461.0,Entire home/apt,,Sunset Hill,26,4.5,5.0,2.0,200.0,3.0,47.669173,-122.400583,2015-12-15 22:47:42.087166
808134,74305.0,Entire home/apt,,Belltown,5,5.0,,2.0,197.0,2.0,47.614057,-122.34727,2015-12-15 22:33:44.482883
8102064,42782914.0,Entire home/apt,,Broadway,2,5.0,3.0,1.0,60.0,4.0,47.623629,-122.326889,2015-12-15 22:33:42.881057
9016362,46325167.0,Private room,,Broadway,3,4.5,2.0,1.0,81.0,1.0,47.62068,-122.323159,2015-12-15 22:33:35.473395
4825472,19992117.0,Private room,,Greenwood,15,4.5,2.0,1.0,35.0,2.0,47.685269,-122.365504,2015-12-15 22:33:24.944992
8306646,4962900.0,Entire home/apt,,Belltown,0,,,2.0,999.0,,47.615301,-122.35434,2015-12-15 22:33:18.981696
6325685,17935405.0,Entire home/apt,,Wallingford,42,5.0,3.0,0.0,120.0,1.0,47.664404,-122.338127,2015-12-15 22:33:16.122195
5892185,382286.0,Private room,,Fremont,20,5.0,2.0,1.0,75.0,1.0,47.65657,-122.349427,2015-12-15 22:33:13.159820
38545,165390.0,Entire home/apt,,Fremont,66,5.0,,3.0,275.0,1.0,47.653028,-122.342683,2015-12-15 22:33:04.584706
9534,31481.0,Entire home/apt,,Fairmount Park,14,5.0,3.0,2.0,125.0,2.0,47.556701,-122.384974,2015-12-15 22:33:01.378851
7430926,32052651.0,Entire home/apt,,East Queen Anne,25,4.5,4.0,1.0,105.0,1.0,47.642905,-122.346705,2015-12-15 22:32:42.170229
1702092,8986560.0,Entire home/apt,,Fremont,6,5.0,3.0,1.0,165.0,2.0,47.662958,-122.348666,2015-12-15 22:32:38.261867
5413564,28062101.0,Entire home/apt,,Ravenna,1,,4.0,2.0,90.0,5.0,47.670564,-122.297955,2015-12-15 22:32:33.984581
6075783,31532684.0,Private room,,Lower Queen Anne,13,5.0,2.0,1.0,150.0,1.0,47.625463,-122.349195,2015-12-15 22:32:32.612836
7678814,9455871.0,Entire home/apt,,First Hill,3,4.5,2.0,1.0,110.0,2.0,47.611856,-122.324754,2015-12-15 22:32:30.688684
4053644,3830187.0,Entire home/apt,,Belltown,5,5.0,3.0,1.0,200.0,5.0,47.613733,-122.343739,2015-12-15 22:32:29.035363
9696532,16073490.0,Entire home/apt,,Alki,0,,,3.0,350.0,1.0,47.578419,-122.407121,2015-12-15 22:32:26.523593
8687716,8956137.0,Entire home/apt,,Mann,2,5.0,,3.0,275.0,,47.613037,-122.299453,2015-12-15 22:32:24.327909
2285262,11673870.0,Private room,,First Hill,22,5.0,2.0,1.0,59.0,1.0,47.612335,-122.323451,2015-12-15 22:32:22.888947
1609922,3494510.0,Entire home/apt,,Adams,26,4.5,5.0,2.0,168.0,,47.671666,-122.377912,2015-12-15 22:32:20.671413
1750681,3401993.0,Private room,,Mount Baker,80,5.0,2.0,1.0,52.0,1.0,47.56856,-122.286429,2015-12-15 22:32:17.689678
5660792,5215312.0,Private room,,Broadway,41,4.5,2.0,1.0,120.0,1.0,47.616771,-122.317589,2015-12-15 22:32:16.444823
3852117,9453180.0,Entire home/apt,,Ravenna,98,4.5,3.0,0.0,48.0,1.0,47.678431,-122.311325,2015-12-15 22:32:10.495857
3157738,9365736.0,Entire home/apt,,Loyal Heights,10,4.5,5.0,3.0,175.0,2.0,47.677364,-122.390641,2015-12-15 22:32:06.354159
3819831,13166405.0,Entire home/apt,,Broadway,3,4.5,2.0,1.0,82.0,2.0,47.618765,-122.316008,2015-12-15 22:32:02.508495
8525338,44891644.0,Entire home/apt,,Leschi,0,,5.0,3.0,210.0,1.0,47.594439,-122.29387,2015-12-15 22:32:01.409433
7396508,754810.0,Entire home/apt,,Mann,10,5.0,4.0,1.0,150.0,2.0,47.620883,-122.297745,2015-12-15 22:31:57.832439
9550869,12867960.0,Entire home/apt,,West Queen Anne,0,,,4.0,349.0,1.0,47.635394,-122.368991,2015-12-15 22:31:56.038644
523883,2575710.0,Private room,,Greenwood,49,4.5,2.0,1.0,68.0,2.0,47.696674,-122.358512,2015-12-15 22:31:51.309527
3811872,7354306.0,Shared room,,Stevens,19,4.5,1.0,1.0,31.0,2.0,47.63033,-122.301708,2015-12-15 22:31:49.304296
3282000,16587333.0,Private room,,Central Business District,45,5.0,2.0,1.0,115.0,1.0,47.610579,-122.338165,2015-12-15 22:31:37.550973
