room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
20927,79450,Entire home/apt,,Adams,261,5.0,2,1.0,89.0,2.0,47.673339,-122.39512,2016-04-18 11:59:26.437136
11323452,2650406,Entire home/apt,,Eastlake,1,,1,0.0,110.0,1.0,47.637131,-122.325305,2016-04-18 11:59:18.181154
4085439,21066328,Private room,,Adams,6,4.5,2,1.0,125.0,1.0,47.670836,-122.392537,2016-04-18 11:59:15.834661
7638263,39401590,Private room,,Broadway,8,5.0,2,1.0,50.0,1.0,47.634755,-122.323257,2016-04-18 11:59:07.441686
3282760,11948115,Private room,,Greenwood,0,,2,1.0,42.0,1.0,47.68806,-122.352017,2016-04-18 11:59:03.186897
12390929,59615717,Entire home/apt,,Cedar Park,0,,14,6.0,295.0,2.0,47.718356,-122.283622,2016-04-18 11:58:56.070811
8101251,4962900,Entire home/apt,,Central Business District,8,5.0,5,2.0,143.0,,47.612078,-122.332592,2016-04-18 11:58:38.197308
6675927,11346794,Private room,,Minor,77,5.0,2,1.0,78.0,1.0,47.616874,-122.30327,2016-04-18 11:58:34.231731
4157572,21574975,Private room,,Columbia City,75,5.0,2,1.0,65.0,1.0,47.567269,-122.290147,2016-04-18 11:58:27.096653
7239217,37584695,Entire home/apt,,North Delridge,17,4.5,4,0.0,110.0,1.0,47.553743,-122.364235,2016-04-18 11:58:23.538113
7922063,35246915,Shared room,,Wallingford,1,,2,1.0,39.0,1.0,47.668363,-122.338887,2016-04-18 11:58:02.429936
10186540,4535629,Entire home/apt,,Phinney Ridge,13,5.0,6,2.0,110.0,2.0,47.671295,-122.351297,2016-04-18 11:57:55.385272
6606,14942,Entire home/apt,,Wallingford,54,4.5,2,1.0,89.0,2.0,47.654109,-122.337605,2016-04-18 11:57:45.706319
2197982,9931335,Entire home/apt,,Maple Leaf,80,5.0,2,0.0,80.0,2.0,47.692767,-122.328645,2016-04-18 11:57:43.577345
1118153,6137030,Private room,,Fremont,83,4.5,2,1.0,50.0,1.0,47.65964,-122.344066,2016-04-18 11:57:33.709730
2605975,4746283,Private room,,Greenwood,74,4.5,1,1.0,50.0,1.0,47.689406,-122.348126,2016-04-18 11:57:27.779293
7697340,9060841,Entire home/apt,,Eastlake,2,,6,3.0,475.0,3.0,47.640324,-122.323168,2016-04-18 11:57:20.521786
3921664,20314969,Private room,,Harrison/Denny-Blaine,22,5.0,6,1.0,99.0,1.0,47.624486,-122.292999,2016-04-18 11:57:09.118869
8690491,15433538,Entire home/apt,,Lower Queen Anne,18,5.0,2,0.0,98.0,2.0,47.62683,-122.357398,2016-04-18 11:54:17.263494
6796246,5091410,Entire home/apt,,North Admiral,40,5.0,2,0.0,100.0,1.0,47.58274,-122.381073,2016-04-18 11:54:08.518654
8308386,4962900,Entire home/apt,,Belltown,3,4.5,7,3.0,99.0,,47.616183,-122.354206,2016-04-18 11:54:05.299935
1827586,2323745,Entire home/apt,,Seward Park,17,4.5,8,3.0,375.0,,47.553513,-122.26161,2016-04-18 11:53:59.809664
12223760,42537846,Entire home/apt,,Broadway,1,,1,0.0,59.0,1.0,47.624615,-122.316809,2016-04-18 11:53:44.875642
8046691,42494222,Entire home/apt,,Broadway,2,,2,1.0,110.0,1.0,47.623969,-122.314462,2016-04-18 11:53:38.085764
8411627,20731,Private room,,North College Park,8,5.0,2,1.0,50.0,1.0,47.700555,-122.344568,2016-04-18 11:53:15.338723
11743748,5548832,Entire home/apt,,North Queen Anne,1,,4,0.0,85.0,3.0,47.651375,-122.371434,2016-04-18 11:53:12.511444
7742525,2409388,Private room,,Bryant,2,,2,1.0,58.0,1.0,47.665094,-122.284049,2016-04-18 11:53:09.714017
4555997,18342756,Entire home/apt,,North Queen Anne,26,5.0,4,0.0,90.0,4.0,47.652191,-122.370595,2016-04-18 11:53:06.248742
11068102,41322124,Entire home/apt,,Roxhill,1,,6,3.0,149.0,2.0,47.527959,-122.367683,2016-04-18 11:52:52.952470
8193054,4874276,Entire home/apt,,Central Business District,26,5.0,3,1.0,125.0,3.0,47.612067,-122.333213,2016-04-18 11:52:40.729455
8104742,32807985,Entire home/apt,,Leschi,16,5.0,10,3.0,285.0,1.0,47.595223,-122.296637,2016-04-18 11:52:35.263405
1039766,5724883,Private room,,Broadway,160,4.5,2,1.0,66.0,1.0,47.621999,-122.322282,2016-04-18 11:52:29.791005
10359970,615302,Private room,,Atlantic,3,4.5,2,1.0,40.0,2.0,47.588386,-122.30416,2016-04-18 11:52:27.262765
6647442,15984289,Private room,,Mid-Beacon Hill,46,4.5,2,1.0,55.0,1.0,47.559201,-122.294479,2016-04-18 11:52:21.521100
6921373,3443346,Entire home/apt,,Fremont,33,5.0,2,1.0,99.0,3.0,47.655498,-122.359283,2016-04-18 11:52:19.341612
12185450,10013531,Entire home/apt,,Broadway,0,,2,1.0,99.0,2.0,47.620976,-122.317806,2016-04-18 11:51:56.791135
12056372,6129293,Private room,,Alki,0,,2,1.0,99.0,2.0,47.575215,-122.413472,2016-04-18 11:51:52.863374
2610187,3074414,Entire home/apt,,Bryant,4,4.5,3,0.0,65.0,3.0,47.676351,-122.289499,2016-04-18 11:51:31.192253
11785399,3319649,Private room,,Minor,2,,1,1.0,47.0,1.0,47.603147,-122.307817,2016-04-18 11:51:11.910159
270370,1309213,Entire home/apt,,North Beach/Blue Ridge,0,,6,3.0,195.0,2.0,47.698181,-122.387101,2016-04-18 11:51:10.029797
1416763,7633740,Entire home/apt,,Seward Park,28,4.5,8,4.0,160.0,3.0,47.544283,-122.264316,2016-04-18 11:50:59.650111
3931346,5062312,Private room,,Fremont,0,,2,1.0,100.0,1.0,47.661004,-122.363054,2016-04-18 11:50:56.173240
8653722,45479019,Entire home/apt,,Greenwood,7,5.0,2,0.0,85.0,2.0,47.69821,-122.361719,2016-04-18 11:50:51.011938
5615620,10903708,Entire home/apt,,Pike-Market,78,5.0,2,0.0,100.0,2.0,47.609274,-122.340877,2016-04-18 11:50:46.848616
797358,4199445,Private room,,Mount Baker,73,5.0,2,1.0,65.0,,47.571243,-122.290788,2016-04-18 11:50:37.928532
7857241,41392507,Entire home/apt,,Fremont,4,5.0,6,3.0,400.0,3.0,47.657675,-122.358685,2016-04-18 11:50:35.174010
2471731,3979528,Private room,,Phinney Ridge,8,5.0,2,1.0,60.0,5.0,47.677824,-122.36516,2016-04-18 11:50:27.485991
10529088,47477853,Entire home/apt,,Wallingford,7,5.0,6,2.0,146.0,2.0,47.66089,-122.337315,2016-04-18 11:50:17.852223
6821407,6577391,Private room,,Loyal Heights,43,5.0,2,1.0,47.0,1.0,47.676536,-122.392776,2016-04-18 11:50:10.226165
7934963,5744697,Private room,,Loyal Heights,39,4.5,4,1.0,49.0,1.0,47.677827,-122.390137,2016-04-18 11:49:58.632516
1055661,74305,Entire home/apt,,Belltown,15,5.0,4,1.0,97.0,,47.616032,-122.348226,2016-04-18 11:49:39.800857
8194886,1977631,Entire home/apt,,Seaview,0,,3,1.0,110.0,2.0,47.555693,-122.387525,2016-04-18 11:49:32.432759
5603785,28746812,Private room,,North Queen Anne,49,4.5,1,1.0,52.0,1.0,47.642824,-122.3744,2016-04-18 11:49:20.219484
1956094,9337200,Private room,,Loyal Heights,89,4.5,4,1.0,75.0,1.0,47.682747,-122.38947,2016-04-18 11:49:10.512736
6884820,31490741,Private room,,Loyal Heights,18,4.5,2,1.0,45.0,2.0,47.681835,-122.378903,2016-04-18 11:49:05.234627
9696286,1918676,Entire home/apt,,Crown Hill,1,,4,2.0,100.0,1.0,47.693446,-122.366803,2016-04-18 11:49:02.080252
9511676,20847926,Private room,,University District,1,,1,1.0,55.0,2.0,47.657418,-122.320644,2016-04-18 11:48:50.336963
3382533,5177328,Entire home/apt,,Southeast Magnolia,57,5.0,4,1.0,150.0,2.0,47.641206,-122.386866,2016-04-18 11:48:43.983830
10729301,55455633,Private room,,Greenwood,0,,1,1.0,40.0,1.0,47.696269,-122.355457,2016-04-18 11:48:40.381378
778382,1717600,Entire home/apt,,Broadway,11,5.0,6,2.0,340.0,1.0,47.632495,-122.312979,2016-04-18 11:48:37.876806
1251813,661691,Entire home/apt,,Central Business District,1,,4,1.0,170.0,1.0,47.613762,-122.333011,2016-04-18 11:47:49.179687
4318709,22422326,Shared room,,Broadway,14,4.5,2,1.0,60.0,1.0,47.624163,-122.324629,2016-04-18 11:47:20.815382
6119165,15281141,Entire home/apt,,Columbia City,0,,3,2.0,80.0,2.0,47.558175,-122.282874,2016-04-18 11:47:10.257465
4574700,23713302,Entire home/apt,,Madrona,2,,8,3.0,350.0,3.0,47.612173,-122.291928,2016-04-18 11:47:01.282398
9563749,31490741,Private room,,Loyal Heights,12,4.5,2,1.0,47.0,2.0,47.68109,-122.377903,2016-04-18 11:46:32.456996
5682,8993,Entire home/apt,,South Delridge,313,5.0,2,1.0,48.0,3.0,47.52398,-122.359891,2016-04-18 11:46:29.068575
9693230,12901367,Entire home/apt,,Fremont,3,5.0,5,2.0,110.0,1.0,47.656243,-122.343393,2016-04-18 11:46:26.298663
